Item Code,Item Group,Default Unit of Measure,Has Variants,Maintain Stock,Is Fixed Asset,Asset Category,Brand,Description,End of Life,Shelf Life In Days,Variant Of,Variant Based On,Safety Stock,Lead Time in days,HSN/SAC,Attribute (Variant Attributes),Attribute Value (Variant Attributes)
OIL PAINT WHITE ASIAN,CONSUMABLE,Litre,0,1,0,,ASIAN,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,WHITE ( ASIAN)
OIL PAINT WHITE NEROLACK,CONSUMABLE,Litre,0,1,0,,NEROLACK,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,WHITE (ROLACK)
OIL PAINT WHITE BIRLA,CONSUMABLE,Litre,0,1,0,,BIRLA,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,WHITE ( BIRLA)
OIL PAINT BLUE BERGER,CONSUMABLE,Litre,0,1,0,,BERGER,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,BLUE (BERGER)
OIL PAINT BLUE ASIAN,CONSUMABLE,Litre,0,1,0,,ASIAN,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,BLUE ( ASIAN)
OIL PAINT BLUE NEROLACK,CONSUMABLE,Litre,0,1,0,,NEROLACK,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,BLUE (ROLACK)
OIL PAINT BLUE BIRLA,CONSUMABLE,Litre,0,1,0,,BIRLA,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,BLUE ( BIRLA)
OIL PAINT GREEN BERGER,CONSUMABLE,Litre,0,1,0,,BERGER,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,GREEN (BERGER)
OIL PAINT GREEN ASIAN,CONSUMABLE,Litre,0,1,0,,ASIAN,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,GREEN ( ASIAN)
OIL PAINT GREEN NEROLACK,CONSUMABLE,Litre,0,1,0,,NEROLACK,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,GREEN (ROLACK)
OIL PAINT GREEN BIRLA,CONSUMABLE,Litre,0,1,0,,BIRLA,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,GREEN ( BIRLA)
OIL PAINT YELLOW BERGER,CONSUMABLE,Litre,0,1,0,,BERGER,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,YELLOW (BERGER)
OIL PAINT YELLOW ASIAN,CONSUMABLE,Litre,0,1,0,,ASIAN,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,YELLOW ( ASIAN)
OIL PAINT YELLOW NEROLACK,CONSUMABLE,Litre,0,1,0,,NEROLACK,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,YELLOW (ROLACK)
OIL PAINT YELLOW BIRLA,CONSUMABLE,Litre,0,1,0,,BIRLA,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,YELLOW ( BIRLA)
